compound,target,confidence_score
Berberine,AKT1,0.87
Berberine,MAPK1,0.85
Berberine,TNF,0.88
Curcumin,STAT3,0.93
Curcumin,JAK2,0.9
Curcumin,NRF2,0.92
Ginsenoside_Rg1,NGF,0.87
Ginsenoside_Rg1,MAPK1,0.86
Ginsenoside_Rb1,GSK3B,0.86
Ginsenoside_Rb1,BCL2,0.83
Astragaloside_IV,SOD1,0.88
Astragaloside_IV,NFKB1,0.85
Baicalein,CYP1A1,0.97
Baicalein,NFKB1,0.91
Quercetin,CYP1A1,0.95
Quercetin,SIRT1,0.88
Quercetin,TNF,0.87
Tanshinone_IIA,BCL2,0.85
Tanshinone_IIA,CASP3,0.88
Tetrandrine,COL1A1,0.91
Tetrandrine,SMAD3,0.89
Emodin,CYP1A1,0.92
Emodin,PTGS2,0.86
Resveratrol,PTGS2,0.92
Resveratrol,HMOX1,0.87
Resveratrol,TNF,0.85
Baicalin,PTGS2,0.91
Baicalin,STAT3,0.86
Salvianolic_acid_B,MMP9,0.86
Salvianolic_acid_B,NFKB1,0.88
Huperzine_A,BDNF,0.79
Huperzine_A,CASP3,0.77
Berberine,IL1B,0.84
Berberine,NFKB1,0.91
Berberine,SREBF1,0.88
Berberine,APOB,0.85
Curcumin,HMOX1,0.88
Curcumin,TP53,0.85
Curcumin,CASP3,0.87
Curcumin,BCL2,0.84
Ginsenoside_Rg1,BCL2,0.83
Ginsenoside_Rg1,GSK3B,0.85
Ginsenoside_Rg1,CREB1,0.82
Ginsenoside_Rb1,CASP3,0.85
Ginsenoside_Rb1,NFKB1,0.81
Ginsenoside_Rb1,NGF,0.84
Astragaloside_IV,AKT1,0.82
Astragaloside_IV,HMOX1,0.83
Astragaloside_IV,SMAD3,0.81
Baicalein,TNF,0.88
Baicalein,IL1B,0.86
Baicalein,MMP9,0.83
Quercetin,IL6,0.85
Quercetin,IL1B,0.84
Quercetin,SOD1,0.86
Quercetin,CAT,0.84
Tanshinone_IIA,TNF,0.86
Tanshinone_IIA,IL6,0.84
Tanshinone_IIA,STAT3,0.87
Tetrandrine,IL1B,0.85
Tetrandrine,IL6,0.83
Tetrandrine,TNF,0.86
Emodin,BAX,0.81
Emodin,BCL2,0.79
Emodin,TNF,0.82
Resveratrol,IL6,0.83
Resveratrol,IL1B,0.81
Resveratrol,SOD1,0.86
Resveratrol,CAT,0.84
Baicalin,IL1B,0.84
Baicalin,MMP9,0.82
Baicalin,CASP3,0.8
Salvianolic_acid_B,SOD1,0.85
Salvianolic_acid_B,HMOX1,0.87
Salvianolic_acid_B,NRF2,0.9
Huperzine_A,APP,0.75
Huperzine_A,GRIN2B,0.81
Huperzine_A,CHAT,0.83
