compound,target,confidence_score
Berberine,TNF,0.89
Berberine,IL1B,0.84
Berberine,NFKB1,0.81
Berberine,CASP3,0.67
Berberine,MMP9,0.64
Berberine,IL6,0.76
Berberine,AMPK,0.94
Berberine,LDLR,0.87
Berberine,PCSK9,0.85
Berberine,PPARG,0.79
Berberine,AKT1,0.73
Berberine,MAPK1,0.71
Berberine,SREBF1,0.83
Berberine,SREBF2,0.78
Berberine,HMGCR,0.81
Berberine,APOB,0.76
Berberine,NR1H3,0.69
Berberine,INSR,0.74
Berberine,SLC2A4,0.68
Berberine,JAK2,0.65
Berberine,STAT3,0.72
Berberine,IL10,0.63
Curcumin,TNF,0.95
Curcumin,IL6,0.93
Curcumin,NFKB1,0.91
Curcumin,PTGS2,0.89
Curcumin,IL1B,0.87
Curcumin,TP53,0.79
Curcumin,MAPK1,0.76
Curcumin,TGFB1,0.78
Curcumin,CASP3,0.82
Curcumin,STAT3,0.88
Curcumin,JAK2,0.82
Curcumin,IL10,0.71
Curcumin,NRF2,0.86
Curcumin,HMOX1,0.79
Curcumin,BCL2,0.74
Curcumin,BAX,0.73
Curcumin,APP,0.68
Curcumin,MAPT,0.65
Curcumin,CTNNB1,0.76
Curcumin,MMP9,0.85
Curcumin,CCND1,0.72
Curcumin,JUN,0.77
Curcumin,FOS,0.69
Curcumin,VEGFA,0.81
Curcumin,HIF1A,0.75
Curcumin,SOD1,0.71
Curcumin,CAT,0.68
Curcumin,GSK3B,0.67
Curcumin,SIRT1,0.75
Ginsenoside_Rg1,MAPK1,0.85
Ginsenoside_Rg1,AKT1,0.83
Ginsenoside_Rg1,BCL2,0.79
Ginsenoside_Rg1,VEGFA,0.82
Ginsenoside_Rg1,JUN,0.75
Ginsenoside_Rg1,NOS3,0.78
Ginsenoside_Rg1,SOD1,0.76
Ginsenoside_Rg1,CAT,0.72
Ginsenoside_Rg1,BDNF,0.84
Ginsenoside_Rg1,NGF,0.81
Ginsenoside_Rg1,GSK3B,0.75
Ginsenoside_Rg1,CREB1,0.73
Ginsenoside_Rg1,HIF1A,0.71
Ginsenoside_Rg1,GRIN2B,0.76
Ginsenoside_Rg1,SIRT1,0.71
Ginsenoside_Rg1,NFKB1,0.67
Ginsenoside_Rg1,TNF,0.65
Ginsenoside_Rg1,CASP3,0.68
Ginsenoside_Rg1,TP53,0.63
Ginsenoside_Rg1,IL6,0.62
