compound,target,relation_type,relation_strength
Berberine,TNF,inhibition,0.85
Berberine,IL1B,inhibition,0.78
Berberine,IL6,inhibition,0.81
Berberine,NFKB1,inhibition,0.76
Berberine,MAPK1,activation,0.65
Berberine,AMPK,activation,0.92
Berberine,PPARG,activation,0.77
Berberine,LDLR,activation,0.84
Berberine,PCSK9,inhibition,0.82
Berberine,CASP3,activation,0.58
Berberine,SREBF1,inhibition,0.75
Berberine,HMGCR,inhibition,0.79
Berberine,APOB,inhibition,0.72
Curcumin,TNF,inhibition,0.91
Curcumin,IL6,inhibition,0.88
Curcumin,IL1B,inhibition,0.83
Curcumin,NFKB1,inhibition,0.89
Curcumin,PTGS2,inhibition,0.92
Curcumin,TP53,activation,0.76
Curcumin,MAPK1,inhibition,0.72
Curcumin,CASP3,activation,0.78
Curcumin,STAT3,inhibition,0.85
Curcumin,JAK2,inhibition,0.79
Curcumin,IL10,activation,0.67
Curcumin,NRF2,activation,0.83
Curcumin,HMOX1,activation,0.81
Curcumin,BCL2,inhibition,0.71
Curcumin,BAX,activation,0.69
Curcumin,TGFB1,inhibition,0.75
Curcumin,MMP9,inhibition,0.81
Curcumin,JUN,inhibition,0.73
Curcumin,CREB1,activation,0.66
Ginsenoside_Rg1,MAPK1,activation,0.79
Ginsenoside_Rg1,AKT1,activation,0.84
Ginsenoside_Rg1,BCL2,activation,0.77
Ginsenoside_Rg1,VEGFA,activation,0.81
Ginsenoside_Rg1,JUN,activation,0.72
Ginsenoside_Rg1,NOS3,activation,0.74
Ginsenoside_Rg1,SOD1,activation,0.76
Ginsenoside_Rg1,CAT,activation,0.68
Ginsenoside_Rg1,BDNF,activation,0.82
Ginsenoside_Rg1,NGF,activation,0.79
Ginsenoside_Rg1,GSK3B,inhibition,0.71
Ginsenoside_Rg1,CREB1,activation,0.75
Ginsenoside_Rg1,HIF1A,activation,0.69
Ginsenoside_Rg1,GRIN2B,activation,0.73
Ginsenoside_Rg1,SIRT1,activation,0.67
Ginsenoside_Rb1,BDNF,activation,0.78
Ginsenoside_Rb1,NGF,activation,0.75
Ginsenoside_Rb1,AKT1,activation,0.83
Ginsenoside_Rb1,BCL2,activation,0.76
Ginsenoside_Rb1,BAX,inhibition,0.72
Ginsenoside_Rb1,CASP3,inhibition,0.80
Ginsenoside_Rb1,NFKB1,inhibition,0.74
Ginsenoside_Rb1,TNF,inhibition,0.69
Ginsenoside_Rb1,IL1B,inhibition,0.67
Ginsenoside_Rb1,GSK3B,inhibition,0.78
Ginsenoside_Rb1,MAPK1,activation,0.71
Ginsenoside_Rb1,VEGFA,activation,0.73
Ginsenoside_Rb1,SIRT1,activation,0.65
Ginsenoside_Rb1,NOS3,activation,0.70
Ginsenoside_Rb1,SOD1,activation,0.68
Astragaloside_IV,NOS3,activation,0.76
Astragaloside_IV,VEGFA,activation,0.73
Astragaloside_IV,HIF1A,activation,0.69
Astragaloside_IV,SOD1,activation,0.82
Astragaloside_IV,TGFB1,inhibition,0.78
Astragaloside_IV,AKT1,activation,0.74
Astragaloside_IV,NFKB1,inhibition,0.76
Astragaloside_IV,IL10,activation,0.68
Astragaloside_IV,IL6,inhibition,0.71
Astragaloside_IV,TNF,inhibition,0.69
Astragaloside_IV,MMP9,inhibition,0.65
Astragaloside_IV,SMAD3,inhibition,0.72
Astragaloside_IV,COL1A1,inhibition,0.75
Astragaloside_IV,PPARG,activation,0.67
Astragaloside_IV,HMOX1,activation,0.73
Baicalein,PTGS2,inhibition,0.88
Baicalein,ALOX5,inhibition,0.91
Baicalein,IL6,inhibition,0.82
Baicalein,TNF,inhibition,0.79
Baicalein,MMP9,inhibition,0.75
Baicalein,IL1B,inhibition,0.76
Baicalein,NFKB1,inhibition,0.84
Baicalein,CASP3,activation,0.73
Baicalein,TP53,activation,0.68
Baicalein,BAX,activation,0.71
Baicalein,BCL2,inhibition,0.65
Baicalein,CYP1A1,inhibition,0.93
Baicalein,CYP3A4,inhibition,0.87
Baicalein,STAT3,inhibition,0.76
Baicalein,MAPK14,inhibition,0.72
Baicalein,FOS,inhibition,0.67
Baicalein,PARP1,inhibition,0.71
Quercetin,PTGS2,inhibition,0.89
