compound_id,target_id,rank,priority_score
compound_0,target_8,1,0.3596929145717583
compound_0,target_0,2,0.3528900770211182
compound_0,target_9,3,0.3511237261557541
compound_0,target_6,4,0.3510133949780426
compound_0,target_1,5,0.35069799700021365
compound_0,target_3,6,0.35022938826322175
compound_0,target_2,7,0.3493168307208977
compound_0,target_4,8,0.3485618976616821
compound_0,target_7,9,0.34553707816838836
compound_0,target_5,10,0.34541104861735916
compound_1,target_0,1,0.3598355782890282
compound_1,target_4,2,0.35189149209498977
compound_1,target_5,3,0.3517418784761391
compound_1,target_9,4,0.3499415678644142
compound_1,target_7,5,0.3493124617004356
compound_1,target_8,6,0.34870137849092103
compound_1,target_3,7,0.3486071554684601
compound_1,target_2,8,0.3415698909872732
compound_1,target_6,9,0.3401020565742216
compound_1,target_1,10,0.33790262730061627
compound_2,target_8,1,0.3570740891361198
compound_2,target_5,2,0.35593274065494157
compound_2,target_0,3,0.35319811233520126
compound_2,target_6,4,0.3502879602575264
compound_2,target_3,5,0.3497428996229134
compound_2,target_1,6,0.34884587207078555
compound_2,target_9,7,0.3449070153498611
compound_2,target_4,8,0.34302470513820266
compound_2,target_7,9,0.34098638274907683
compound_2,target_2,10,0.32938591593145944
compound_3,target_8,1,0.35945146509646986
compound_3,target_9,2,0.35829397567748644
compound_3,target_4,3,0.3571857912206612
compound_3,target_0,4,0.3560056222343407
compound_3,target_6,5,0.35574236043929675
compound_3,target_2,6,0.3540068698787651
compound_3,target_3,7,0.352268264975544
compound_3,target_7,8,0.34937677213191604
compound_3,target_1,9,0.34936211832999803
compound_3,target_5,10,0.34271023997306443
compound_4,target_4,1,0.35040575840711213
compound_4,target_5,2,0.34838337280988313
compound_4,target_0,3,0.3467045558357201
compound_4,target_2,4,0.3458816213273964
compound_4,target_6,5,0.34567660519122695
compound_4,target_1,6,0.34458958634376147
compound_4,target_3,7,0.34402607285618403
compound_4,target_9,8,0.3432630000376663
compound_4,target_8,9,0.34262706765174483
compound_4,target_7,10,0.340882113363739
compound_5,target_7,1,0.35206821688651657
compound_5,target_4,2,0.350269394900795
compound_5,target_5,3,0.34840373822688675
compound_5,target_1,4,0.3480393303298912
compound_5,target_8,5,0.343778624918457
compound_5,target_3,6,0.34177523755669215
compound_5,target_6,7,0.3406989650541506
compound_5,target_0,8,0.3388856310138068
compound_5,target_9,9,0.33796771017104005
compound_5,target_2,10,0.33102723189830396
compound_6,target_3,1,0.35559225061177824
compound_6,target_4,2,0.35329038032531357
compound_6,target_0,3,0.3514906568193398
compound_6,target_7,4,0.34944372304916
compound_6,target_9,5,0.34838505962133026
compound_6,target_2,6,0.34789283105373003
compound_6,target_5,7,0.34673506447314834
compound_6,target_6,8,0.3420922850930653
compound_6,target_1,9,0.3420450737440548
compound_6,target_8,10,0.3361125154161415
compound_7,target_3,1,0.36358512171744917
compound_7,target_9,2,0.359120453681942
compound_7,target_0,3,0.35885172614097216
compound_7,target_7,4,0.35684180089473344
compound_7,target_4,5,0.3547508893275223
compound_7,target_8,6,0.3504293067121468
compound_7,target_6,7,0.34783560090899085
compound_7,target_2,8,0.342488236513134
compound_7,target_5,9,0.341786232378479
compound_7,target_1,10,0.33660831001787994
compound_8,target_5,1,0.3494922814631424
compound_8,target_0,2,0.34920370408534623
compound_8,target_7,3,0.34798194670319177
compound_8,target_2,4,0.3440854219460449
compound_8,target_8,5,0.3439224516713581
compound_8,target_6,6,0.3438864124679527
compound_8,target_1,7,0.3412142635995111
compound_8,target_3,8,0.3401137375944815
compound_8,target_4,9,0.33770144299804783
compound_8,target_9,10,0.3367730056607685
compound_9,target_7,1,0.35740383395194625
compound_9,target_3,2,0.35439339854955293
compound_9,target_6,3,0.35100327261924363
compound_9,target_8,4,0.35089115926265335
compound_9,target_1,5,0.34549427309274294
compound_9,target_0,6,0.34435333439349747
compound_9,target_4,7,0.3427276765668354
compound_9,target_9,8,0.3402534348630867
compound_9,target_5,9,0.33727252946436026
compound_9,target_2,10,0.33637564123808955
